OID_,Point,QR_code,c_0_15,c_15_30,mean_carb,log_10,mgmt
0,4,726E8179FC,2.2110000,1.868000000000000,2.0395000,0.3095240,4
1,5,728950DBB3,2.3770001,1.235000000000000,1.8060000,0.2567180,4
2,8,83E13DE727,2.1450000,0.964000000000000,1.5545000,0.1915910,4
3,12,671C7ECCB4,1.6420000,0.958000000000000,1.3000000,0.1139430,4
4,13,FE61F00727,2.0730000,1.487000000000000,1.7800000,0.2504200,4
5,14,422C13A0B1,1.7500000,1.343000000000000,1.5465000,0.1893500,4
6,15,522587FBAE,2.1199999,1.105000000000000,1.6125000,0.2075000,4
7,16,A438F50294,2.0929999,1.182000000000000,1.6375000,0.2141810,4
8,21,239B67ED11,2.4200001,1.143000000000000,1.7815000,0.2507860,4
9,22,41C7945B86,1.9510000,1.135000000000000,1.5430000,0.1883660,4
10,23,44E0897DE8,1.7480000,0.828000000000000,1.2880000,0.1099160,4
11,24,430B37F6E8,2.4890001,1.207000000000000,1.8480000,0.2667020,4
12,31,596E57B5D8,4.1980000,1.730000000000000,2.9640000,0.4718780,1
13,33,64A0616412,2.2860000,1.374000000000000,1.8300000,0.2624510,1
14,34,39CB68943D,3.4940000,2.803000000000000,3.1485000,0.4981040,1
15,35,CF8054D6CC,2.2100000,1.274000000000000,1.7420000,0.2410480,1
16,36,3A7B57EA84,4.3909998,5.266000000000000,4.8284998,0.6838120,1
17,37,072ED973AB,3.5850000,1.244000000000000,2.4145000,0.3828270,1
18,38,2B93927BAB,2.3090000,1.039000000000000,1.6740000,0.2237550,1
19,39,3E8ACBF27E,3.0669999,2.236000000000000,2.6515000,0.4234920,1
20,42,9805015C9F,3.9500000,1.845000000000000,2.8975000,0.4620230,1
21,44,41DD2BDE5C,2.8010001,1.911000000000000,2.3559999,0.3721750,1
22,45,448497FACF,2.2030001,1.419000000000000,1.8110000,0.2579180,1
23,48,CD52342903,2.1500001,1.246000000000000,1.6980000,0.2299380,1
24,51,6B430FCB34,3.4930000,2.887000000000000,3.1900001,0.5037910,1
25,52,62F8FD2EB4,2.5940001,2.071000000000000,2.3325000,0.3678220,1
26,53,46DC5091B2,2.5820000,2.033000000000000,2.3074999,0.3631420,1
27,54,DA4C12BE62,2.6559999,1.791000000000000,2.2235000,0.3470370,1
28,55,DFB16FF4D4,3.0940001,1.480000000000000,2.2869999,0.3592660,1
29,56,7AEB2B02E2,2.0720000,1.682000000000000,1.8770000,0.2734640,1
30,57,D1845E9A7F,2.3180001,1.376000000000000,1.8470000,0.2664670,1
31,58,FF4F5E94F7,4.0460000,2.974000000000000,3.5100000,0.5453070,1
